marker	chr	pos	trait	lod	threshold	iteration	var_exp	eff_size	ci_l_marker	ci_l_pos	ci_r_marker	ci_r_pos
UCE1-772	I	3433602	.mean.norm.EXT	1.02696863110495	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-134	I	3445312	.mean.norm.EXT	1.02696863110495	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-135	I	3502473	.mean.norm.EXT	1.06178721675568	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-777	I	3560132	.mean.norm.EXT	1.1710324767377	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-136	I	3573191	.mean.norm.EXT	0.960040326634702	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-254	I	3674998	.mean.norm.EXT	0.452160905610329	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-789	I	3684806	.mean.norm.EXT	0.452160905610329	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-150	I	3806107	.mean.norm.EXT	0.367151028217944	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-796	I	3871122	.mean.norm.EXT	0.331613135517271	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-797	I	3890033	.mean.norm.EXT	0.331613135517271	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-137	I	3989629	.mean.norm.EXT	0.262313782144634	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-146	I	4078433	.mean.norm.EXT	0.424503981608928	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-138	I	4175487	.mean.norm.EXT	0.527247187352851	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-122	I	4237066	.mean.norm.EXT	0.527247187352851	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-123	I	4338252	.mean.norm.EXT	0.57601605864849	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-829	I	4436682	.mean.norm.EXT	0.50396844735052	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-835	I	4516442	.mean.norm.EXT	0.578888097375552	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-124	I	4533146	.mean.norm.EXT	0.578888097375552	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-228	I	4590527	.mean.norm.EXT	0.26612924026579	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-848	I	4651938	.mean.norm.EXT	0.139115376472048	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-855	I	4696914	.mean.norm.EXT	0.139115376472048	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-125	I	4845514	.mean.norm.EXT	0.13978744176814	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-863	I	4976879	.mean.norm.EXT	0.294755200462132	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-864	I	4977200	.mean.norm.EXT	0.246165617223781	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-869	I	5052407	.mean.norm.EXT	0.246165617223781	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-151	I	5083458	.mean.norm.EXT	0.299024434420905	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-871	I	5196015	.mean.norm.EXT	0.352295633401747	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-875	I	5428703	.mean.norm.EXT	0.73277420889401	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-256	I	5521984	.mean.norm.EXT	0.670881001715128	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-127	I	5626781	.mean.norm.EXT	0.684790775915176	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-887	I	5683303	.mean.norm.EXT	0.732356282383377	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-128	I	5715297	.mean.norm.EXT	0.816540998374586	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-19	I	5756860	.mean.norm.EXT	0.816540998374586	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-130	I	5885306	.mean.norm.EXT	0.816540998374586	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-163	I	6070814	.mean.norm.EXT	0.539660283683448	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-145	I	6166275	.mean.norm.EXT	0.539660283683448	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-173	I	6256994	.mean.norm.EXT	0.539660283683448	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-112	I	6351803	.mean.norm.EXT	0.539660283683448	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-906	I	6385320	.mean.norm.EXT	0.539660283683448	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-144	I	6593042	.mean.norm.EXT	0.695177610681401	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-113	I	6651082	.mean.norm.EXT	0.695177610681401	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-257	I	6724980	.mean.norm.EXT	0.654341087443528	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-171	I	6795673	.mean.norm.EXT	0.700627369273184	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-165	I	7057032	.mean.norm.EXT	0.664320317378389	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-114	I	7118752	.mean.norm.EXT	0.664320317378389	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-924	I	7254665	.mean.norm.EXT	0.789679104912591	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-166	I	7273652	.mean.norm.EXT	0.789679104912591	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-28	I	7410355	.mean.norm.EXT	1.08126872481649	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-115	I	7436829	.mean.norm.EXT	1.1843440461489	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-927	I	7478907	.mean.norm.EXT	1.39951201537271	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-160	I	7492498	.mean.norm.EXT	1.39951201537271	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-116	I	7581805	.mean.norm.EXT	1.39951201537271	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-935	I	7628157	.mean.norm.EXT	1.37522767441312	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-117	I	7677536	.mean.norm.EXT	1.37522767441312	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-941	I	7759537	.mean.norm.EXT	1.40845439191331	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-118	I	7833563	.mean.norm.EXT	1.40845439191331	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-24	I	7886023	.mean.norm.EXT	1.57379179666156	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-149	I	7899299	.mean.norm.EXT	1.57379179666156	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-233	I	7916198	.mean.norm.EXT	1.57379179666156	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-232	I	7917218	.mean.norm.EXT	1.57379179666156	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-231	I	7918001	.mean.norm.EXT	1.57379179666156	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-234	I	7934585	.mean.norm.EXT	1.40555762359113	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-236	I	7937798	.mean.norm.EXT	1.40555762359113	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-235	I	7938296	.mean.norm.EXT	1.40555762359113	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-119	I	7997352	.mean.norm.EXT	1.32000978751846	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-955	I	8069196	.mean.norm.EXT	1.36152931910283	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-120	I	8083413	.mean.norm.EXT	1.36152931910283	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-153	I	8158564	.mean.norm.EXT	1.36152931910283	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-967	I	8203505	.mean.norm.EXT	1.36152931910283	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-17	I	8278637	.mean.norm.EXT	1.36152931910283	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-170	I	8292948	.mean.norm.EXT	1.36152931910283	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-139	I	8361431	.mean.norm.EXT	1.52554000616293	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-972	I	8455570	.mean.norm.EXT	1.52554000616293	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-977	I	8540004	.mean.norm.EXT	1.76287783597631	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-154	I	8550716	.mean.norm.EXT	1.76287783597631	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-158	I	8642739	.mean.norm.EXT	1.76287783597631	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-21	I	8646304	.mean.norm.EXT	1.76287783597631	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-987	I	8730375	.mean.norm.EXT	1.76287783597631	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-157	I	8828155	.mean.norm.EXT	1.53376875358426	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-997	I	8842911	.mean.norm.EXT	1.53376875358426	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-162	I	8920670	.mean.norm.EXT	1.53376875358426	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-140	I	9026464	.mean.norm.EXT	1.53376875358426	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1010	I	9101085	.mean.norm.EXT	1.53376875358426	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1013	I	9126239	.mean.norm.EXT	1.53376875358426	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-141	I	9190202	.mean.norm.EXT	1.67873174175028	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-142	I	9279944	.mean.norm.EXT	1.67873174175028	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-143	I	9372163	.mean.norm.EXT	1.67873174175028	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-176	I	9471290	.mean.norm.EXT	1.79629590270232	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-177	I	9561574	.mean.norm.EXT	2.07379666311472	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-8	I	9603896	.mean.norm.EXT	2.07379666311472	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1038	I	9657799	.mean.norm.EXT	2.07379666311472	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-179	I	9743549	.mean.norm.EXT	2.07379666311472	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-20	I	9759703	.mean.norm.EXT	2.07379666311472	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-180	I	9838710	.mean.norm.EXT	1.7399893514475	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1050	I	9882159	.mean.norm.EXT	1.7399893514475	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-181	I	9899728	.mean.norm.EXT	2.0884217236017	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-182	I	9958073	.mean.norm.EXT	2.23470562892593	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-183	I	10069741	.mean.norm.EXT	2.27789677816188	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-184	I	10163992	.mean.norm.EXT	2.09161995621685	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-3	I	10170689	.mean.norm.EXT	2.13900540227415	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-14	I	10238046	.mean.norm.EXT	2.13900540227415	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1068	I	10331101	.mean.norm.EXT	2.38134326877893	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-185	I	10366104	.mean.norm.EXT	2.38134326877893	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1075	I	10427208	.mean.norm.EXT	2.3149900888669	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-187	I	10533236	.mean.norm.EXT	2.37814571773894	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1079	I	10535281	.mean.norm.EXT	2.37814571773894	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-188	I	10614690	.mean.norm.EXT	2.30600489233571	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-247	I	10722158	.mean.norm.EXT	1.55177822085524	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1091	I	10722400	.mean.norm.EXT	1.55177822085524	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-190	I	10793142	.mean.norm.EXT	1.48096727246472	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-191	I	10924244	.mean.norm.EXT	1.82032939248576	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-192	I	11077240	.mean.norm.EXT	1.3577695163027	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1139	I	11133785	.mean.norm.EXT	1.49086021190847	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-194	I	11263149	.mean.norm.EXT	1.35811485468469	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-26	I	11283523	.mean.norm.EXT	1.35811485468469	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-195	I	11330012	.mean.norm.EXT	0.78774007703596	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-196	I	11415252	.mean.norm.EXT	0.405318272146504	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-197	I	11494140	.mean.norm.EXT	0.493177012962375	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1167	I	11600964	.mean.norm.EXT	0.330492992572523	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-199	I	11648488	.mean.norm.EXT	0.226207315758538	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1174	I	11648672	.mean.norm.EXT	0.226207315758538	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1186	I	11722293	.mean.norm.EXT	0.150632756183949	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-200	I	11737892	.mean.norm.EXT	0.179351171573544	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-201	I	11805363	.mean.norm.EXT	0.138109300863449	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-202	I	11875873	.mean.norm.EXT	0.189898760704418	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1206	I	11912204	.mean.norm.EXT	0.189898760704418	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-203	I	11956752	.mean.norm.EXT	0.10952071919576	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1215	I	12080473	.mean.norm.EXT	0.00536346102739247	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1253	I	12166168	.mean.norm.EXT	2.7871329407104e-05	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1260	I	12205651	.mean.norm.EXT	0.012583815079453	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1284	I	12334129	.mean.norm.EXT	0.0111147927921999	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-18	I	12365039	.mean.norm.EXT	0.010545722396612	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-7	I	12433096	.mean.norm.EXT	0.0576312669219747	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1308	I	12456612	.mean.norm.EXT	0.0576312669219747	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1312	I	12498918	.mean.norm.EXT	0.0398242327739263	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-207	I	12567424	.mean.norm.EXT	4.93568568957716e-05	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1333	I	12612109	.mean.norm.EXT	0.00637408880910831	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-208	I	12654702	.mean.norm.EXT	0.0187993078984905	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1352	I	12655003	.mean.norm.EXT	0.0187993078984905	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1361	I	12729824	.mean.norm.EXT	0.000587588051410991	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-209	I	12738906	.mean.norm.EXT	0.000587588051410991	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1389	I	12873388	.mean.norm.EXT	0.971948140237682	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-210	I	12936946	.mean.norm.EXT	0.938273352358371	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1392	I	12967087	.mean.norm.EXT	0.887358800781068	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1400	I	13140506	.mean.norm.EXT	1.73270646490593	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1415	I	13219648	.mean.norm.EXT	0.896172994942185	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-213	I	13294213	.mean.norm.EXT	0.915274115517272	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1426	I	13375914	.mean.norm.EXT	0.804402260713951	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1433	I	13424265	.mean.norm.EXT	0.667719119311595	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1448	I	13713134	.mean.norm.EXT	0.743607367434085	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-10	I	13727565	.mean.norm.EXT	0.743607367434085	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-217	I	13845130	.mean.norm.EXT	0.581297037603061	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-248	I	13850057	.mean.norm.EXT	0.581297037603061	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-218	I	13938775	.mean.norm.EXT	0.372957000613027	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-219	I	14026319	.mean.norm.EXT	0.588913727717776	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-220	I	14113178	.mean.norm.EXT	0.662271206522552	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1512	I	14155589	.mean.norm.EXT	0.663337754205718	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-221	I	14189381	.mean.norm.EXT	0.636629100882617	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1518	I	14266541	.mean.norm.EXT	0.496252622626663	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-222	I	14267225	.mean.norm.EXT	0.496252622626663	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-258	I	14307038	.mean.norm.EXT	0.496252622626663	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1540	I	14325188	.mean.norm.EXT	0.461463657346859	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-223	I	14444012	.mean.norm.EXT	0.620345368429483	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1555	I	14535072	.mean.norm.EXT	0.444569430690267	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1557	I	14576690	.mean.norm.EXT	0.652245558494963	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1565	I	14638558	.mean.norm.EXT	0.626533896270618	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-225	I	14737603	.mean.norm.EXT	0.35879216197508	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1573	I	14768030	.mean.norm.EXT	0.572936034307241	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-11	I	14845874	.mean.norm.EXT	0.184827478271557	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE1-227	I	14904802	.mean.norm.EXT	0.0612699784130981	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1602	I	14910551	.mean.norm.EXT	0.0612699784130981	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE1-1612	I	15010607	.mean.norm.EXT	0.101038396106769	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE2-503	II	65038	.mean.norm.EXT	0.310840728412866	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE2-225	II	180755	.mean.norm.EXT	0.310840728412866	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE2-508	II	193948	.mean.norm.EXT	0.310840728412866	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE2-229	II	417416	.mean.norm.EXT	0.198626465205056	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE2-522	II	426625	.mean.norm.EXT	0.198626465205056	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE2-525	II	441358	.mean.norm.EXT	0.198626465205056	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE2-528	II	505542	.mean.norm.EXT	0.161926631104291	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE2-102	II	534283	.mean.norm.EXT	0.161926631104291	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE2-32	II	661216	.mean.norm.EXT	0.342804681973631	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE2-239	II	762234	.mean.norm.EXT	0.656393445159834	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE2-545	II	828258	.mean.norm.EXT	0.696638697415847	3.01329865066461	1	NA	NA	NA	NA	NA	NA
CE2-104	II	866657	.mean.norm.EXT	0.758050851825299	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE2-554	II	880737	.mean.norm.EXT	0.64210450482571	3.01329865066461	1	NA	NA	NA	NA	NA	NA
UCE2-590	II	960271	.mean.norm.EXT	0.675679989533185	3.01329865066461	1	NA	NA	NA	NA	NA	NA
