Gene	RANGE	N_INFORMATIVE	NumVar	NumPolyVar	OptFreq	Zmax	NumPerm	ActualPerm	Stat	NumGreater	NumEqual	PermPvalue	CHROM	POS	endPOS	size	significant
WBGene00005033	II:9544685-9546208	204	10	10	0.014706	296.307	10000	1554	296.307	1000	0	0.643501	II	9544685	9546208	1523	FALSE
WBGene00005034	II:9537728-9539085	204	14	13	0.004902	601.938	10000	3212	601.938	1000	0	0.311333	II	9537728	9539085	1357	FALSE
WBGene00005035	II:9532298-9533974	204	10	10	0.029412	432	10000	1995	432	1000	0	0.501253	II	9532298	9533974	1676	FALSE
WBGene00007080	II:9517567-9518896	204	8	8	0.03987	270.646	10000	1656	270.646	1000	0	0.603865	II	9517567	9518896	1329	FALSE
WBGene00007081	II:9519095-9520210	204	11	11	0.004902	453.98	10000	1655	453.98	1000	0	0.60423	II	9519095	9520210	1115	FALSE
WBGene00005027	II:9520199-9521670	204	12	12	0.019608	1360.47	10000	10000	1360.47	190	0	0.019	II	9520199	9521670	1471	FALSE
WBGene00003231	II:9524173-9526366	204	16	16	0.02451	691.901	10000	3520	691.901	1000	0	0.284091	II	9524173	9526366	2193	FALSE
WBGene00005028	II:9528779-9529862	204	14	14	0.004902	288.938	10000	1474	288.938	1000	0	0.678426	II	9528779	9529862	1083	FALSE
WBGene00005029	II:9539273-9540823	204	9	9	0.014706	325.724	10000	1342	325.724	1000	0	0.745156	II	9539273	9540823	1550	FALSE
WBGene00005030	II:9541600-9542885	204	9	9	0.04902	391.323	10000	1485	391.323	1000	0	0.673401	II	9541600	9542885	1285	FALSE
WBGene00014998	X:2243233-2247008	204	27	27	0.02451	516.541	10000	1962	516.541	1000	0	0.509684	X	2243233	2247008	3775	FALSE
WBGene00000797	X:2255847-2258081	204	13	13	0.042183	674.893	10000	4733	674.893	1000	0	0.211282	X	2255847	2258081	2234	FALSE
WBGene00014999	X:2259151-2260526	204	7	6	0.041102	281.079	10000	1396	281.079	1000	0	0.716332	X	2259151	2260526	1375	FALSE
WBGene00015000	X:2271024-2274337	204	32	32	0.014706	437.607	10000	1937	437.607	1000	0	0.516262	X	2271024	2274337	3313	FALSE
WBGene00044701	X:2263175-2267472	204	38	38	0.004902	405.296	10000	1847	405.296	1000	0	0.541419	X	2263175	2267472	4297	FALSE
WBGene00175029	X:2243114-2244467	204	11	11	0.004902	235.361	10000	1040	235.361	1000	0	0.961538	X	2243114	2244467	1353	FALSE
WBGene00003010	IV:12129503-12135095,IV:12131936-12135432,IV:12132862-12135095,IV:12131936-12135432	204	31	31	0.040175	856.295	10000	6408	856.295	1000	0	0.156055	IV	12129503	12135095	5592	FALSE
WBGene00007087	IV:12146480-12150975	204	35	35	0.029412	848.696	10000	6173	848.696	1000	0	0.161996	IV	12146480	12150975	4495	FALSE
WBGene00007088	IV:12143430-12145731,IV:12143430-12145731,IV:12143430-12145700	204	10	10	0.029412	1298.56	10000	10000	1298.56	343	0	0.0343	IV	12143430	12145731	2301	FALSE
WBGene00007089	IV:12135079-12137349	204	17	17	0.038516	1004.47	10000	10000	1004.47	930	0	0.093	IV	12135079	12137349	2270	FALSE
WBGene00007090	IV:12141159-12143331	204	24	23	0.02451	430.98	10000	1989	430.98	1000	0	0.502765	IV	12141159	12143331	2172	FALSE
WBGene00007091	IV:12159469-12164274,IV:12156837-12164274	204	62	62	0.029412	981.058	10000	8746	981.058	1000	0	0.114338	IV	12159469	12164274	4805	FALSE
WBGene00007092	IV:12150955-12154242,IV:12150955-12154242,IV:12151191-12151898	204	16	16	0.009804	1017.32	10000	8055	1017.32	1000	0	0.124146	IV	12150955	12154242	3287	FALSE
WBGene00007093	IV:12138844-12141057,IV:12138859-12141057	204	10	10	0.02451	1229.97	10000	10000	1229.97	341	0	0.0341	IV	12138844	12141057	2213	FALSE
WBGene00000138	I:12759585-12764960	204	62	62	0.04902	572.585	10000	2142	572.585	1000	0	0.466853	I	12759585	12764960	5375	FALSE
WBGene00007094	I:12773658-12782257	204	132	132	0.004902	344.398	10000	1234	344.398	1000	0	0.810373	I	12773658	12782257	8599	FALSE
WBGene00000722	V:10291695-10292868	204	11	11	0.02451	235.861	10000	1492	235.861	1000	0	0.670241	V	10291695	10292868	1173	FALSE
WBGene00007100	V:10315249-10317394	204	10	10	0.019608	804.662	10000	3530	804.662	1000	0	0.283286	V	10315249	10317394	2145	FALSE
WBGene00007101	V:10317489-10319534	204	13	13	0.034314	945.809	10000	8262	945.809	1000	0	0.121036	V	10317489	10319534	2045	FALSE
WBGene00001646	V:10319534-10320158	204	4	3	0.004902	411.858	10000	2475	411.858	995	5	0.40303	V	10319534	10320158	624	FALSE
WBGene00007102	V:10320714-10322304	204	9	9	0.009804	959.151	10000	7898	959.151	1000	0	0.126614	V	10320714	10322304	1590	FALSE
WBGene00007103	V:10322286-10329253,V:10322286-10332112,V:10324037-10329253,V:10324430-10329253,V:10322286-10329253,V:10322592-10329253,V:10322286-10326444	204	57	57	0.014706	1414.03	10000	10000	1414.03	192	0	0.0192	V	10322286	10329253	6967	FALSE
WBGene00007104	V:10290042-10291710,V:10289720-10291710	204	24	24	0.044118	254.281	10000	1392	254.281	1000	0	0.718391	V	10290042	10291710	1668	FALSE
WBGene00000723	V:10293564-10294621	204	14	14	0.02451	1116.66	10000	10000	1116.66	645	0	0.0645	V	10293564	10294621	1057	FALSE
WBGene00007096	V:10287563-10289272	204	8	8	0.029412	871.388	10000	6603	871.388	1000	0	0.151446	V	10287563	10289272	1709	FALSE
WBGene00007097	V:10297398-10298982	204	14	13	0.02451	949.61	10000	10000	949.61	641	0	0.0641	V	10297398	10298982	1584	FALSE
WBGene00001533	V:10308290-10314053,V:10308290-10314053	204	27	27	0.009804	713.499	10000	4083	713.499	1000	0	0.244918	V	10308290	10314053	5763	FALSE
WBGene00000491	V:10299472-10307354,V:10299472-10303590,V:10299472-10302881,V:10299472-10302340	204	41	41	0.014706	1006.63	10000	10000	1006.63	825	0	0.0825	V	10299472	10307354	7882	FALSE
WBGene00007099	V:10314640-10315776,V:10314640-10315776	204	4	4	0.004902	675.854	10000	3168	675.854	1000	0	0.315657	V	10314640	10315776	1136	FALSE
WBGene00006932	I:6028485-6033458,I:6029771-6033458,I:6028485-6033458,I:6028497-6033458	204	24	24	0.014706	351.948	10000	1760	351.948	1000	0	0.568182	I	6028485	6033458	4973	FALSE
WBGene00000814	I:6022666-6026981,I:6022659-6026981	204	23	23	0.014706	552.87	10000	3379	552.87	1000	0	0.295946	I	6022666	6026981	4315	FALSE
WBGene00015001	I:6027193-6028370	204	3	3	0.009804	756.426	10000	4581	756.426	1000	0	0.218293	I	6027193	6028370	1177	FALSE
WBGene00194700	I:6024150-6024955	204	4	4	0.035904	408.697	10000	1862	408.697	1000	0	0.537057	I	6024150	6024955	805	FALSE
WBGene00015002	II:5970104-5972655	204	19	19	0.019608	580.618	10000	2594	580.618	1000	0	0.385505	II	5970104	5972655	2551	FALSE
WBGene00000403	II:5945405-5956683,II:5945405-5948714,II:5945405-5947303	204	73	73	0.019608	371.118	10000	1495	371.118	1000	0	0.668896	II	5945405	5956683	11278	FALSE
WBGene00015004	II:5968134-5969058	204	6	6	0.029412	1229.86	10000	10000	1229.86	446	0	0.0446	II	5968134	5969058	924	FALSE
WBGene00015005	II:5972855-5974977	204	9	9	0.019608	622.412	10000	2435	622.412	1000	0	0.410678	II	5972855	5974977	2122	FALSE
WBGene00001919	IV:11326556-11327220	204	4	4	0.035691	416.479	10000	1896	416.479	1000	0	0.527426	IV	11326556	11327220	664	FALSE
WBGene00007110	IV:11327613-11329369	204	8	8	0.014706	278.093	10000	1285	278.093	1000	0	0.77821	IV	11327613	11329369	1756	FALSE
WBGene00007111	IV:11329465-11332892,IV:11329490-11332892,IV:11329465-11332944	204	18	18	0.004902	779.324	10000	5465	779.324	1000	0	0.182983	IV	11329465	11332892	3427	FALSE
WBGene00007112	IV:11304720-11306720	204	13	13	0.009804	801.633	10000	4388	801.633	1000	0	0.227894	IV	11304720	11306720	2000	FALSE
WBGene00001019	IV:11299035-11304787,IV:11299007-11304787,IV:11303844-11304787	204	23	22	0.004902	991.544	10000	10000	991.544	617	0	0.0617	IV	11299035	11304787	5752	FALSE
WBGene00007113	IV:11296990-11298419	204	13	13	0.039216	1066.53	10000	10000	1066.53	562	0	0.0562	IV	11296990	11298419	1429	FALSE
WBGene00007114	IV:11295147-11296887	204	7	7	0.004902	669.92	10000	2917	669.92	1000	0	0.342818	IV	11295147	11296887	1740	FALSE
WBGene00007105	IV:11310971-11312382,IV:11310971-11312497	204	6	6	0.014706	401.764	10000	1646	401.764	1000	0	0.607533	IV	11310971	11312382	1411	FALSE
WBGene00001020	IV:11312472-11313976	204	5	5	0.004902	134.223	10000	1161	134.223	1000	0	0.861326	IV	11312472	11313976	1504	FALSE
WBGene00007106	IV:11314076-11315050	204	9	9	0.02451	1088.71	10000	10000	1088.71	730	0	0.073	IV	11314076	11315050	974	FALSE
WBGene00007107	IV:11315206-11315877	204	7	7	0.03453	563.292	10000	1900	563.292	1000	0	0.526316	IV	11315206	11315877	671	FALSE
WBGene00007108	IV:11317418-11319950	204	5	5	0.039216	350.261	10000	1363	350.261	1000	0	0.733676	IV	11317418	11319950	2532	FALSE
WBGene00007109	IV:11320799-11323636	204	25	25	0.009804	378.095	10000	1443	378.095	1000	0	0.693001	IV	11320799	11323636	2837	FALSE
WBGene00001921	IV:11323884-11324470	204	4	4	0.004902	141.975	10000	1077	141.975	1000	0	0.928505	IV	11323884	11324470	586	FALSE
WBGene00015006	I:4664498-4665348	204	6	6	0.03406	460.646	10000	1910	460.646	1000	0	0.52356	I	4664498	4665348	850	FALSE
WBGene00206362	I:4661140-4662199,I:4661114-4662192	204	8	8	0.004902	554.582	10000	2432	554.582	1000	0	0.411184	I	4661140	4662199	1059	FALSE
WBGene00015007	I:4655348-4659518,I:4653470-4659518,I:4653470-4660079,I:4655348-4660087,I:4653470-4660087,I:4653526-4659518	204	39	39	0.004902	649.111	10000	2938	649.111	1000	0	0.340368	I	4655348	4659518	4170	FALSE
WBGene00015008	I:4644436-4645626	204	9	9	0.034247	309.977	10000	1419	309.977	1000	0	0.704722	I	4644436	4645626	1190	FALSE
WBGene00004415	I:4645635-4646963	204	8	8	0.004902	458.608	10000	1759	458.608	1000	0	0.568505	I	4645635	4646963	1328	FALSE
WBGene00015009	I:4648268-4650770	204	18	18	0.014706	571.423	10000	2574	571.423	1000	0	0.3885	I	4648268	4650770	2502	FALSE
WBGene00015010	I:4652142-4652906,I:4652142-4652905	204	3	3	0.004902	387.653	10000	2241	387.653	1000	0	0.446229	I	4652142	4652906	764	FALSE
WBGene00006961	I:4665743-4671738	204	32	32	0.014706	387.878	10000	1744	387.878	1000	0	0.573394	I	4665743	4671738	5995	FALSE
WBGene00015011	I:4647423-4648275,I:4647317-4648278	204	3	3	0.035316	530.731	10000	2330	530.731	1000	0	0.429185	I	4647423	4648275	852	FALSE
WBGene00015012	II:2040394-2041615,II:2040270-2041615	204	25	25	0.046569	223.735	10000	1251	223.735	1000	0	0.799361	II	2040394	2041615	1221	FALSE
WBGene00015013	II:2043022-2044059	204	30	30	0.004902	430.519	10000	1536	430.519	1000	0	0.651042	II	2043022	2044059	1037	FALSE
WBGene00015014	II:2044623-2045585	204	17	17	0.04121	577.868	10000	3007	577.868	1000	0	0.332557	II	2044623	2045585	962	FALSE
WBGene00015015	II:2045962-2046656	204	45	45	0.014706	665.477	10000	3197	665.477	1000	0	0.312793	II	2045962	2046656	694	FALSE
WBGene00006646	X:12031597-12034037	204	21	20	0.004902	389.7	10000	1763	389.7	1000	0	0.567215	X	12031597	12034037	2440	FALSE
WBGene00007115	X:12028710-12031457,X:12028710-12031497	204	23	22	0.044118	385.98	10000	1616	385.98	1000	0	0.618812	X	12028710	12031457	2747	FALSE
WBGene00007116	X:12042615-12049347	204	49	48	0.04364	1104.73	10000	10000	1104.73	432	0	0.0432	X	12042615	12049347	6732	FALSE
WBGene00015024	I:10708403-10710375,I:10708362-10710375	204	13	13	0.02451	343.182	10000	1579	343.182	1000	0	0.633312	I	10708403	10710375	1972	FALSE
WBGene00015025	I:10732541-10733685	204	9	9	0.014706	580.432	10000	1734	580.432	1000	0	0.576701	I	10732541	10733685	1144	FALSE
WBGene00044644	I:10727750-10728795	204	21	20	0.039216	576.697	10000	3607	576.697	1000	0	0.277239	I	10727750	10728795	1045	FALSE
WBGene00015017	I:10713449-10718201,I:10713449-10716997	204	51	51	0.014706	585.712	10000	2967	585.712	1000	0	0.337041	I	10713449	10718201	4752	FALSE
WBGene00015018	I:10724160-10725563,I:10724160-10726136	204	10	10	0.009804	524.027	10000	2711	524.027	1000	0	0.368868	I	10724160	10725563	1403	FALSE
WBGene00004466	I:10730728-10732424,I:10730728-10732448	204	13	13	0.004902	581.372	10000	3964	581.372	1000	0	0.25227	I	10730728	10732424	1696	FALSE
WBGene00015019	I:10741368-10744443	204	34	34	0.004902	664.692	10000	4619	664.692	1000	0	0.216497	I	10741368	10744443	3075	FALSE
WBGene00015021	I:10736696-10739911	204	29	29	0.009804	663.141	10000	4741	663.141	1000	0	0.210926	I	10736696	10739911	3215	FALSE
WBGene00002191	I:10734021-10736607	204	21	21	0.029412	632.336	10000	4050	632.336	1000	0	0.246914	I	10734021	10736607	2586	FALSE
WBGene00015022	I:10728894-10730237	204	15	15	0.012255	485.923	10000	2275	485.923	1000	0	0.43956	I	10728894	10730237	1343	FALSE
WBGene00015023	I:10720825-10723591	204	15	15	0.004902	358.589	10000	1925	358.589	1000	0	0.519481	I	10720825	10723591	2766	FALSE
WBGene00015026	I:5965061-5967211	204	11	10	0.014706	587.309	10000	3951	587.309	1000	0	0.2531	I	5965061	5967211	2150	FALSE
WBGene00015034	I:5962951-5964126	204	7	7	0.014706	308.539	10000	1672	308.539	1000	0	0.598086	I	5962951	5964126	1175	FALSE
WBGene00000232	I:5969123-5973320,I:5967250-5973320,I:5970294-5973320	204	34	34	0.02451	566.604	10000	3159	566.604	1000	0	0.316556	I	5969123	5973320	4197	FALSE
WBGene00015027	I:5955030-5956883	204	8	8	0.990197	1072.36	10000	10000	1072.36	511	0	0.0511	I	5955030	5956883	1853	FALSE
WBGene00001676	I:5942576-5945537,I:5942418-5945537	204	17	16	0.034314	429.112	10000	2232	429.112	1000	0	0.448029	I	5942576	5945537	2961	FALSE
WBGene00000099	I:5937476-5938885	204	3	3	0.005768	1557.05	10000	10000	1557.05	210	0	0.021	I	5937476	5938885	1409	FALSE
WBGene00015028	I:5919054-5935416,I:5919054-5935416	204	103	103	0.004902	594.085	10000	4166	594.085	1000	0	0.240038	I	5919054	5935416	16362	FALSE
WBGene00015029	I:5935369-5936944	204	7	7	0.006192	680.634	10000	5065	680.634	1000	0	0.197433	I	5935369	5936944	1575	FALSE
WBGene00015030	I:5945756-5947342	204	3	3	0.004902	387.653	10000	1888	387.653	1000	0	0.529661	I	5945756	5947342	1586	FALSE
WBGene00015032	I:5957459-5958359	204	4	4	0.006017	413.434	10000	2334	413.434	1000	0	0.428449	I	5957459	5958359	900	FALSE
WBGene00015035	IV:3572471-3577630,IV:3568978-3577630,IV:3570718-3577630	204	92	92	0.004902	856.03	10000	4265	856.03	1000	0	0.234467	IV	3572471	3577630	5159	FALSE
WBGene00015036	IV:3565200-3567814	204	27	27	0.006945	506.792	10000	1479	506.792	1000	0	0.676133	IV	3565200	3567814	2614	FALSE
WBGene00015037	IV:3540187-3543602	204	27	27	0.004902	450.806	10000	1539	450.806	1000	0	0.649773	IV	3540187	3543602	3415	FALSE
WBGene00015038	IV:3543627-3547600,IV:3543627-3546527,IV:3543627-3545816,IV:3543627-3544546	204	27	27	0.004902	586.863	10000	2850	586.863	1000	0	0.350877	IV	3543627	3547600	3973	FALSE
WBGene00003889	IV:3551089-3557431	204	39	39	0.004902	707.543	10000	3490	707.543	1000	0	0.286533	IV	3551089	3557431	6342	FALSE
WBGene00015040	V:3955765-3957715	204	161	161	0.009804	557.766	10000	1905	557.766	1000	0	0.524934	V	3955765	3957715	1950	FALSE
WBGene00015041	V:3958238-3961189,V:3958238-3961358	204	141	141	0.014706	424.597	10000	1776	424.597	1000	0	0.563063	V	3958238	3961189	2951	FALSE
WBGene00015042	V:3961759-3963815	204	180	180	0.014706	549.884	10000	2462	549.884	1000	0	0.406174	V	3961759	3963815	2056	FALSE
WBGene00015043	V:3964778-3967871	204	192	192	0.004902	431.308	10000	1947	431.308	1000	0	0.513611	V	3964778	3967871	3093	FALSE
WBGene00015044	V:3968139-3970514,V:3968132-3970514,V:3968139-3968644	204	237	237	0.007353	536.608	10000	2569	536.608	1000	0	0.389257	V	3968139	3970514	2375	FALSE
WBGene00015045	V:3970711-3973001	204	214	214	0.004902	425.543	10000	2056	425.543	1000	0	0.486381	V	3970711	3973001	2290	FALSE
WBGene00003765	V:3989090-3989770	204	41	41	0.004902	305.804	10000	1424	305.804	1000	0	0.702247	V	3989090	3989770	680	FALSE
WBGene00003768	V:3981979-3982745	204	60	60	0.004902	582.956	10000	3317	582.956	1000	0	0.301477	V	3981979	3982745	766	FALSE
WBGene00003769	V:3980054-3980617	204	44	44	0.004902	399.725	10000	1701	399.725	1000	0	0.587889	V	3980054	3980617	563	FALSE
WBGene00006142	V:3977263-3978811	204	150	150	0.009804	376.387	10000	1651	376.387	1000	0	0.605694	V	3977263	3978811	1548	FALSE
WBGene00006141	V:3974660-3976264	204	185	185	0.004902	613.168	10000	3670	613.168	1000	0	0.27248	V	3974660	3976264	1604	FALSE
WBGene00006274	V:3954038-3955460	204	121	121	0.004902	451.962	10000	1594	451.962	1000	0	0.627353	V	3954038	3955460	1422	FALSE
WBGene00015047	IV:8159386-8162042,IV:8159406-8162042,IV:8159415-8162042,IV:8159357-8162042,IV:8159386-8162042,IV:8159406-8162042,IV:8159415-8162042,IV:8159357-8162042	204	14	14	0.004902	711.128	10000	3754	711.128	1000	0	0.266383	IV	8159386	8162042	2656	FALSE
WBGene00015048	IV:8152444-8154859	204	11	11	0.019608	559.587	10000	1837	559.587	1000	0	0.544366	IV	8152444	8154859	2415	FALSE
WBGene00004055	IV:8148793-8151246	204	12	12	0.004902	926.137	10000	9464	926.137	1000	0	0.105664	IV	8148793	8151246	2453	FALSE
WBGene00015049	IV:8155250-8156447	204	2	2	0.0223	416.93	10000	1946	416.93	1000	0	0.513875	IV	8155250	8156447	1197	FALSE
WBGene00015050	IV:8161751-8163795,IV:8161751-8163787	204	8	8	0.004902	675.854	10000	3494	675.854	1000	0	0.286205	IV	8161751	8163795	2044	FALSE
WBGene00015051	IV:8164593-8166050	204	4	4	0.029412	981.445	10000	8112	981.445	1000	0	0.123274	IV	8164593	8166050	1457	FALSE
WBGene00015052	IV:8167162-8168774	204	8	8	0.009804	680.834	10000	3098	680.834	1000	0	0.322789	IV	8167162	8168774	1612	FALSE
WBGene00015053	V:9134298-9135575	204	3	3	0.021837	395.183	10000	2043	395.183	1000	0	0.489476	V	9134298	9135575	1277	FALSE
WBGene00015058	V:9158383-9159538	204	4	4	0.004902	201.23	10000	1159	201.23	1000	0	0.862813	V	9158383	9159538	1155	FALSE
WBGene00044582	V:9165819-9168041	204	20	20	0.004902	639.935	10000	3372	639.935	1000	0	0.29656	V	9165819	9168041	2222	FALSE
WBGene00235316	V:9155614-9156736	204	11	11	0.014706	652.58	10000	3546	652.58	1000	0	0.282008	V	9155614	9156736	1122	FALSE
WBGene00015054	V:9135655-9137718	204	9	9	0.02235	838.346	10000	7328	838.346	1000	0	0.136463	V	9135655	9137718	2063	FALSE
WBGene00015055	V:9138949-9141397	204	6	6	0.014706	364.394	10000	1347	364.394	1000	0	0.74239	V	9138949	9141397	2448	FALSE
WBGene00006418	V:9144614-9146899	204	13	12	0.02451	263.209	10000	1224	263.209	1000	0	0.816993	V	9144614	9146899	2285	FALSE
WBGene00015056	V:9152320-9154872	204	25	25	0.009804	799.952	10000	6495	799.952	1000	0	0.153965	V	9152320	9154872	2552	FALSE
WBGene00000717	V:9159641-9160642	204	4	4	0.02202	578.098	10000	3015	578.098	1000	0	0.331675	V	9159641	9160642	1001	FALSE
WBGene00000718	V:9162050-9163005	204	12	11	0.004902	252.384	10000	1377	252.384	1000	0	0.726216	V	9162050	9163005	955	FALSE
WBGene00000599	V:9164294-9165307	204	5	4	0.009804	61.5518	10000	1031	61.5518	1000	0	0.969932	V	9164294	9165307	1013	FALSE
WBGene00015057	V:9168391-9173024	204	21	21	0.004902	719.053	10000	3726	719.053	1000	0	0.268384	V	9168391	9173024	4633	FALSE
WBGene00015059	II:7756007-7756908	204	5	5	0.020852	593.458	10000	3259	593.458	1000	0	0.306843	II	7756007	7756908	901	FALSE
WBGene00015061	II:7724902-7752726,II:7724902-7752726,II:7724902-7731383,II:7742396-7752726	204	138	138	0.004902	699.798	10000	5866	699.798	1000	0	0.170474	II	7724902	7752726	27824	FALSE
WBGene00015062	II:7752631-7753513,II:7752631-7753607	204	2	2	0.004902	411.858	10000	1723	411.858	995	5	0.578932	II	7752631	7753513	882	FALSE
WBGene00015063	II:7754146-7755156	204	4	4	0.021569	530.006	10000	2605	530.006	1000	0	0.383877	II	7754146	7755156	1010	FALSE
WBGene00015064	II:7757189-7758390,II:7757189-7758439	204	5	5	0.021334	351.231	10000	1569	351.231	1000	0	0.637349	II	7757189	7758390	1201	FALSE
WBGene00015065	II:7759709-7761540	204	11	11	0.014706	557.364	10000	2909	557.364	1000	0	0.343761	II	7759709	7761540	1831	FALSE
WBGene00015066	II:7762061-7763669	204	9	9	0.014706	1216.38	10000	10000	1216.38	265	0	0.0265	II	7762061	7763669	1608	FALSE
WBGene00015067	V:5240769-5243136	204	83	83	0.012255	462.36	10000	3023	462.36	1000	0	0.330797	V	5240769	5243136	2367	FALSE
WBGene00015074	V:5274075-5275562	204	43	43	0.009804	445.864	10000	3124	445.864	1000	0	0.320102	V	5274075	5275562	1487	FALSE
WBGene00015075	V:5269484-5270744	204	37	37	0.014706	489.723	10000	3693	489.723	1000	0	0.270783	V	5269484	5270744	1260	FALSE
WBGene00015076	V:5267821-5268823	204	41	41	0.014706	502.653	10000	3878	502.653	1000	0	0.257865	V	5267821	5268823	1002	FALSE
WBGene00015077	V:5243728-5248040	204	64	64	0.004902	529.119	10000	2509	529.119	1000	0	0.398565	V	5243728	5248040	4312	FALSE
WBGene00015068	V:5250603-5252116	204	88	88	0.01985	434.329	10000	3050	434.329	1000	0	0.327869	V	5250603	5252116	1513	FALSE
WBGene00015069	V:5256141-5257458	204	80	80	0.004902	425.395	10000	2831	425.395	1000	0	0.353232	V	5256141	5257458	1317	FALSE
WBGene00015070	V:5258035-5259548	204	80	80	0.04902	443.632	10000	3081	443.632	1000	0	0.32457	V	5258035	5259548	1513	FALSE
WBGene00015071	V:5260331-5263099	204	154	154	0.004902	429.617	10000	3013	429.617	1000	0	0.331895	V	5260331	5263099	2768	FALSE
WBGene00015072	V:5263950-5265681,V:5263950-5265776	204	57	57	0.004902	433.764	10000	2771	433.764	1000	0	0.360881	V	5263950	5265681	1731	FALSE
WBGene00015073	V:5275548-5278101,V:5275548-5278306	204	67	67	0.014706	498.037	10000	3384	498.037	1000	0	0.295508	V	5275548	5278101	2553	FALSE
WBGene00004359	V:11727897-11730160	204	17	17	0.019608	535.598	10000	2241	535.598	1000	0	0.446229	V	11727897	11730160	2263	FALSE
WBGene00007117	V:11733543-11736968	204	23	23	0.019608	1076.04	10000	10000	1076.04	675	0	0.0675	V	11733543	11736968	3425	FALSE
WBGene00000907	V:11718088-11725652	204	45	45	0.039216	546.44	10000	2405	546.44	1000	0	0.4158	V	11718088	11725652	7564	FALSE
WBGene00007118	V:11730991-11733472	204	8	8	0.029412	676.315	10000	2826	676.315	1000	0	0.353857	V	11730991	11733472	2481	FALSE
WBGene00015085	III:5733996-5737515	204	19	19	0.02451	642.704	10000	3910	642.704	1000	0	0.255754	III	5733996	5737515	3519	FALSE
WBGene00015086	III:5767881-5768665	204	6	6	0.009804	807.771	10000	3295	807.771	1000	0	0.30349	III	5767881	5768665	784	FALSE
WBGene00206513	III:5742555-5744820	204	9	9	0.025903	381.587	10000	1779	381.587	1000	0	0.562114	III	5742555	5744820	2265	FALSE
WBGene00002048	III:5755538-5765815	204	67	67	0.014706	384.173	10000	2152	384.173	1000	0	0.464684	III	5755538	5765815	10277	FALSE
