snps	position	window	Td	swindow	ewindow	midwindow
132	3447090	132	-1.06621157748603	3447090	3457859	3452474.5
133	3447216	133	-1.05334508656016	3447216	3457867	3452541.5
134	3447360	134	-1.07810497245951	3447360	3457876	3452618
135	3447506	135	-1.10286485835887	3447506	3457879	3452692.5
136	3447523	136	-1.15057058708585	3447523	3457928	3452725.5
137	3447712	137	-1.24193348483674	3447712	3458042	3452877
138	3447812	138	-1.24193348483674	3447812	3458118	3452965
139	3447818	139	-1.29563396517157	3447818	3458283	3453050.5
140	3448073	140	-1.29563396517157	3448073	3458601	3453337
141	3450586	141	-1.31455527535667	3450586	3458808	3454697
142	3451556	142	-1.31455527535667	3451556	3458864	3455210
143	3451587	143	-1.31307761113269	3451587	3458893	3455240
144	3451702	144	-1.31307761113269	3451702	3458953	3455327.5
145	3451859	145	-1.31891618684695	3451859	3458977	3455418
146	3451874	146	-1.31743852262297	3451874	3459208	3455541
147	3451910	147	-1.39661970067373	3451910	3459287	3455598.5
148	3451952	148	-1.37185981477438	3451952	3459305	3455628.5
149	3451970	149	-1.39078112495947	3451970	3459400	3455685
150	3451971	150	-1.39078112495947	3451971	3459520	3455745.5
151	3452155	151	-1.38494254924522	3452155	3459540	3455847.5
152	3452272	152	-1.44231916984459	3452272	3459596	3455934
153	3452279	153	-1.35382750582973	3452279	3459871	3456075
154	3452291	154	-1.29940621367832	3452291	3459914	3456102.5
155	3452310	155	-1.31227270460418	3452310	3460046	3456178
156	3452380	156	-1.31375036882816	3452380	3460055	3456217.5
157	3452520	157	-1.28524226148262	3452520	3460137	3456328.5
158	3452559	158	-1.21939610203849	3452559	3460166	3456362.5
159	3452677	159	-1.21791843781451	3452677	3460185	3456431
160	3452735	160	-1.21791843781451	3452735	3460219	3456477
161	3452744	161	-1.15160375068961	3452744	3460354	3456549
162	3452760	162	-1.20602504284102	3452760	3460414	3456587
163	3452866	163	-1.20894433069815	3452866	3460431	3456648.5
164	3452882	164	-1.20894433069815	3452882	3460437	3456659.5
165	3452909	165	-1.20894433069815	3452909	3460438	3456673.5
166	3452912	166	-1.20746666647417	3452912	3460588	3456750
167	3452962	167	-1.20746666647417	3452962	3460647	3456804.5
168	3452980	168	-1.25691435709122	3452980	3460672	3456826
169	3453039	169	-1.24707527579497	3453039	3460746	3456892.5
170	3453162	170	-1.24707527579497	3453162	3461126	3457144
171	3453177	171	-1.24707527579497	3453177	3461222	3457199.5
172	3453198	172	-1.24707527579497	3453198	3461241	3457219.5
173	3453210	173	-1.28942297001875	3453210	3461278	3457244
174	3453320	174	-1.31767879322849	3453320	3461320	3457320
175	3453384	175	-1.31767879322849	3453384	3461391	3457387.5
176	3453418	176	-1.32777015866054	3453418	3461566	3457492
177	3453510	177	-1.34063664958641	3453510	3461605	3457557.5
178	3453523	178	-1.33479807387215	3453523	3461793	3457658
179	3453642	179	-1.31259706992164	3453642	3461872	3457757
180	3453685	180	-1.31259706992164	3453685	3461896	3457790.5
181	3453721	181	-1.22123417217076	3453721	3462029	3457875
182	3453739	182	-1.13570985013413	3453739	3462039	3457889
183	3453883	183	-1.12284335920827	3453883	3462051	3457967
184	3453983	184	-1.10083457174218	3453983	3462153	3458068
185	3454049	185	-1.17832184202399	3454049	3462179	3458114
186	3454071	186	-1.0986000551108	3454071	3462189	3458130
187	3454106	187	-1.16444621455492	3454106	3462283	3458194.5
188	3454257	188	-1.16205552202995	3454257	3462333	3458295
189	3454333	189	-1.16789409774421	3454333	3462398	3458365.5
190	3454361	190	-1.16789409774421	3454361	3462481	3458421
191	3454408	191	-1.16789409774421	3454408	3462642	3458525
192	3454787	192	-1.097434742674	3454787	3462699	3458743
193	3454912	193	-1.0959690919803	3454912	3462718	3458815
194	3454928	194	-1.12754064954628	3454928	3462722	3458825
195	3455797	195	-1.06273966723619	3455797	3462976	3459386.5
196	3455823	196	-1.05834271515508	3455823	3462990	3459406.5
197	3455824	197	-1.07709583591631	3455824	3462991	3459407.5
198	3455830	198	-1.15447498442564	3455830	3463281	3459555.5
199	3455850	199	-1.15299732020166	3455850	3463366	3459608
200	3455878	200	-1.1586917335526	3455878	3463394	3459636
201	3455885	201	-1.06725675462006	3455885	3463425	3459655
202	3456000	202	-0.977455615805092	3456000	3463540	3459770
203	3456039	203	-0.976013992171942	3456039	3463580	3459809.5
204	3456121	204	-1.00077387807129	3456121	3463668	3459894.5
205	3456184	205	-1.01100940586666	3456184	3463685	3459934.5
206	3456247	206	-1.00661245378555	3456247	3463749	3459998
207	3456248	207	-1.08492865765642	3456248	3463821	3460034.5
208	3456358	208	-1.01830161874434	3456358	3463832	3460095
209	3456511	209	-1.01704019806534	3456511	3463857	3460184
210	3456521	210	-1.01704019806534	3456521	3463858	3460189.5
211	3456631	211	-1.0097720122482	3456631	3464004	3460317.5
212	3456651	212	-1.08725928253002	3456651	3464023	3460337
213	3456847	213	-1.09309785824427	3456847	3464310	3460578.5
214	3456882	214	-1.00479841071384	3456882	3464325	3460603.5
215	3456887	215	-1.0176649016397	3456887	3464364	3460625.5
216	3456888	216	-1.02206185372081	3456888	3464393	3460640.5
217	3457181	217	-1.09791528388505	3457181	3464526	3460853.5
218	3457254	218	-1.07882578427609	3457254	3464554	3460904
219	3457325	219	-1.09774709446118	3457325	3464596	3460960.5
220	3457410	220	-1.09774709446118	3457410	3464607	3461008.5
221	3457604	221	-1.10913592116307	3457604	3464893	3461248.5
222	3457605	222	-1.10538769971688	3457605	3464909	3461257
223	3457611	223	-1.11122627543114	3457611	3464936	3461273.5
224	3457652	224	-1.11562322751224	3457652	3464960	3461306
225	3457683	225	-1.10835504169511	3457683	3465272	3461477.5
226	3457800	226	-1.04020228443795	3457800	3465283	3461541.5
227	3457842	227	-1.0301109190059	3457842	3465413	3461627.5
228	3457845	228	-1.12154589793843	3457845	3465422	3461633.5
229	3457857	229	-1.09303779059289	3457857	3465429	3461643
230	3457858	230	-1.09303779059289	3457858	3465443	3461650.5
231	3457859	231	-1.02784036178368	3457859	3465580	3461719.5
232	3457867	232	-1.03922918848557	3457867	3465625	3461746
233	3457876	233	-1.05209567941143	3457876	3465663	3461769.5
234	3457879	234	-1.05061801518745	3457879	3465858	3461868.5
235	3457928	235	-1.05061801518745	3457928	3465952	3461940
236	3458042	236	-1.02088452775374	3458042	3465985	3462013.5
237	3458118	237	-0.930062238865286	3458118	3466052	3462085
238	3458283	238	-0.851998319130214	3458283	3466083	3462183
239	3458601	239	-0.873622673627463	3458601	3466098	3462349.5
240	3458808	240	-0.870679358709783	3458808	3466112	3462460
241	3458864	241	-0.787942175697249	3458864	3466277	3462570.5
242	3458893	242	-0.69698773797576	3458893	3466286	3462589.5
243	3458953	243	-0.633412135753845	3458953	3466430	3462691.5
244	3458977	244	-0.611403348287755	3458977	3466516	3462746.5
245	3459208	245	-0.605564772573498	3459208	3466690	3462949
246	3459287	246	-0.602645484716369	3459287	3466724	3463005.5
247	3459305	247	-0.602645484716369	3459305	3466885	3463095
248	3459400	248	-0.61731400518367	3459400	3467095	3463247.5
249	3459520	249	-0.613061215465877	3459520	3467100	3463310
250	3459540	250	-0.534997295730805	3459540	3467111	3463325.5
251	3459596	251	-0.530744506013013	3459596	3467113	3463354.5
252	3459871	252	-0.530744506013013	3459871	3467237	3463554
253	3459914	253	-0.622179484945551	3459914	3467289	3463601.5
254	3460046	254	-0.614286595554055	3460046	3467349	3463697.5
255	3460055	255	-0.60280166060996	3460055	3467419	3463737
256	3460137	256	-0.601323996385981	3460137	3467442	3463789.5
257	3460166	257	-0.629832103731523	3460166	3467445	3463805.5
258	3460185	258	-0.691281311094541	3460185	3467460	3463822.5
259	3460219	259	-0.69275897531852	3460219	3467615	3463917
260	3460354	260	-0.691281311094541	3460354	3467649	3464001.5
261	3460414	261	-0.768984824921326	3460414	3467688	3464051
262	3460431	262	-0.78790613510642	3460431	3467729	3464080
263	3460437	263	-0.786440484412718	3460437	3467778	3464107.5
264	3460438	264	-0.786440484412718	3460438	3467845	3464141.5
265	3460588	265	-0.786440484412718	3460588	3467963	3464275.5
266	3460647	266	-0.776433213692601	3460647	3468039	3464343
267	3460672	267	-0.772036261611494	3460672	3468093	3464382.5
268	3460746	268	-0.715032060450687	3460746	3468153	3464449.5
269	3461126	269	-0.729268093828044	3461126	3468174	3464650
270	3461222	270	-0.729268093828044	3461222	3468193	3464707.5
271	3461241	271	-0.662641054915961	3461241	3468227	3464734
272	3461278	272	-0.582390672670611	3461278	3468278	3464778
273	3461320	273	-0.542325549199318	3461320	3468279	3464799.5
274	3461391	274	-0.542325549199318	3461391	3468291	3464841
275	3461566	275	-0.542325549199318	3461566	3468297	3464931.5
276	3461605	276	-0.53648697348506	3461605	3468312	3464958.5
277	3461793	277	-0.53648697348506	3461793	3468418	3465105.5
278	3461872	278	-0.542325549199318	3461872	3468652	3465262
279	3461896	279	-0.563048888925849	3461896	3468763	3465329.5
280	3462029	280	-0.563048888925849	3462029	3468826	3465427.5
281	3462039	281	-0.647143600859599	3462039	3468862	3465450.5
282	3462051	282	-0.709998391264939	3462051	3468865	3465458
283	3462153	283	-0.722864882190803	3462153	3468921	3465537
284	3462179	284	-0.73908314806374	3462179	3468996	3465587.5
285	3462189	285	-0.73908314806374	3462189	3469112	3465650.5
286	3462283	286	-0.818804934976935	3462283	3469133	3465708
287	3462333	287	-0.812966359262677	3462333	3469255	3465794
288	3462398	288	-0.83903571996214	3462398	3469370	3465884
289	3462481	289	-0.798814420597255	3462481	3469541	3466011
290	3462642	290	-0.798814420597255	3462642	3469621	3466131.5
291	3462699	291	-0.717050333537097	3462699	3469622	3466160.5
292	3462718	292	-0.808413231287979	3462718	3469649	3466183.5
293	3462722	293	-0.744729507293577	3462722	3469666	3466194
294	3462976	294	-0.74619515798728	3462976	3469824	3466400
295	3462990	295	-0.828487840379592	3462990	3469834	3466412
296	3462991	296	-0.8328847924607	3462991	3469850	3466420.5
297	3463281	297	-0.816666526587763	3463281	3469896	3466588.5
298	3463366	298	-0.746026968563412	3463366	3469955	3466660.5
299	3463394	299	-0.681658473343265	3463394	3470064	3466729
300	3463425	300	-0.760839651394029	3463425	3470199	3466812
301	3463540	301	-0.849331315408886	3463540	3470344	3466942
302	3463580	302	-0.939132454223855	3463580	3470345	3466962.5
303	3463668	303	-0.926698450387936	3463668	3470386	3467027
304	3463685	304	-0.920859874673678	3463685	3470463	3467074
305	3463749	305	-0.939132454223855	3463749	3470494	3467121.5
306	3463821	306	-0.943529406304962	3463821	3470678	3467249.5
307	3463832	307	-0.943529406304962	3463832	3470782	3467307
308	3463857	308	-1.01015644521704	3463857	3470894	3467375.5
309	3463858	309	-1.0361777517954	3463858	3470962	3467410
310	3464004	310	-1.0361777517954	3464004	3471018	3467511
311	3464023	311	-1.0361777517954	3464023	3471039	3467531
312	3464310	312	-1.0361777517954	3464310	3471048	3467679
313	3464325	313	-1.00766964444986	3464325	3471113	3467719
314	3464364	314	-1.01790517224523	3464364	3471121	3467742.5
315	3464393	315	-0.9520590128011	3464393	3471138	3467765.5
316	3464526	316	-0.944790826983968	3464526	3471183	3467854.5
317	3464554	317	-0.949187779065076	3464554	3471268	3467911
318	3464596	318	-0.888207099382831	3464596	3471469	3468032.5
319	3464607	319	-0.828199515652963	3464607	3471610	3468108.5
320	3464893	320	-0.823802563571855	3464893	3471676	3468284.5
321	3464909	321	-0.823802563571855	3464909	3471856	3468382.5
322	3464936	322	-0.852310670917396	3464936	3471971	3468453.5
323	3464960	323	-0.839444179991532	3464960	3471981	3468470.5
324	3465272	324	-0.839444179991532	3465272	3472262	3468767
325	3465283	325	-0.846712365808663	3465283	3472265	3468774
326	3465413	326	-0.91486512306583	3465413	3472266	3468839.5
327	3465422	327	-0.92495648849788	3465422	3472345	3468883.5
328	3465429	328	-0.92495648849788	3465429	3472353	3468891
329	3465443	329	-0.94619641002629	3465443	3472406	3468924.5
330	3465580	330	-0.94619641002629	3465580	3472486	3469033
331	3465625	331	-0.939384738359656	3465625	3472538	3469081.5
332	3465663	332	-0.91995885990296	3465663	3472661	3469162
333	3465858	333	-0.91995885990296	3465858	3472929	3469393.5
334	3465952	334	-0.921436524126939	3465952	3472931	3469441.5
335	3465985	335	-0.900532981446263	3465985	3472934	3469459.5
336	3466052	336	-0.917399977954119	3466052	3473029	3469540.5
337	3466083	337	-1.00095408102544	3466083	3473043	3469563
338	3466098	338	-1.05681699681	3466098	3473086	3469592
339	3466112	339	-1.05681699681	3466112	3473142	3469627
340	3466277	340	-1.05249212591055	3466277	3473633	3469955
341	3466286	341	-1.12016434195667	3466286	3473706	3469996
342	3466430	342	-1.21111877967815	3466430	3473758	3470094
343	3466516	343	-1.27617204612405	3466516	3473839	3470177.5
344	3466690	344	-1.29526154573301	3466690	3473897	3470293.5
345	3466724	345	-1.21092656319373	3466724	3473973	3470348.5
346	3466885	346	-1.21532351527484	3466885	3473997	3470441
347	3467095	347	-1.12514995702131	3467095	3474037	3470566
348	3467100	348	-1.12797313663623	3467100	3474166	3470633
349	3467111	349	-1.13806450206828	3467111	3474382	3470746.5
350	3467113	350	-1.21612842180335	3467113	3474440	3470776.5
351	3467237	351	-1.2262197872354	3467237	3474441	3470839
352	3467289	352	-1.20794720768522	3467289	3474553	3470921
353	3467349	353	-1.20794720768522	3467349	3474581	3470965
354	3467419	354	-1.29502127512748	3467419	3474892	3471155.5
355	3467442	355	-1.30650621007158	3467442	3475052	3471247
356	3467445	356	-1.3021452985813	3467445	3475062	3471253.5
357	3467460	357	-1.30066763435732	3467460	3475085	3471272.5
358	3467615	358	-1.21399001341418	3467615	3475193	3471404
359	3467649	359	-1.21399001341418	3467649	3475517	3471583
360	3467688	360	-1.21546767763816	3467688	3475696	3471692
361	3467729	361	-1.21694534186214	3467729	3475880	3471804.5
362	3467778	362	-1.21551573175926	3467778	3476034	3471906
363	3467845	363	-1.21845904667694	3467845	3476114	3471979.5
364	3467963	364	-1.21698138245296	3467963	3476152	3472057.5
365	3468039	365	-1.21698138245296	3468039	3476200	3472119.5
366	3468093	366	-1.22119813157993	3468093	3476222	3472157.5
367	3468153	367	-1.1443235513422	3468153	3476277	3472215
368	3468174	368	-1.13987854513999	3468174	3476311	3472242.5
369	3468193	369	-1.13987854513999	3468193	3476335	3472264
370	3468227	370	-1.13987854513999	3468227	3476342	3472284.5
371	3468278	371	-1.18691151617151	3468278	3476382	3472330
372	3468279	372	-1.26716189841686	3468279	3476386	3472332.5
373	3468291	373	-1.33679231989801	3468291	3476392	3472341.5
374	3468297	374	-1.32678504917789	3468297	3476417	3472357
375	3468312	375	-1.23848560164745	3468312	3476460	3472386
376	3468418	376	-1.24432417736171	3468418	3476485	3472451.5
377	3468652	377	-1.24432417736171	3468652	3476538	3472595
378	3468763	378	-1.24432417736171	3468763	3476560	3472661.5
379	3468826	379	-1.23853365576856	3468826	3476561	3472693.5
380	3468862	380	-1.20758680177694	3468862	3476562	3472712
381	3468865	381	-1.21485498759407	3468865	3476589	3472727
382	3468921	382	-1.24336309493961	3468921	3476629	3472775
383	3468996	383	-1.24336309493961	3468996	3476719	3472857.5
384	3469112	384	-1.25063128075674	3469112	3476944	3473028
385	3469133	385	-1.25063128075674	3469133	3477015	3473074
386	3469255	386	-1.25063128075674	3469255	3477068	3473161.5
387	3469370	387	-1.25207290438989	3469370	3477081	3473225.5
388	3469541	388	-1.17806955788819	3469541	3477182	3473361.5
389	3469621	389	-1.21829085725308	3469621	3477233	3473427
390	3469622	390	-1.21102267143594	3469622	3477242	3473432
391	3469649	391	-1.28130182355201	3469649	3477257	3473453
392	3469666	392	-1.26981688860791	3469666	3477258	3473462
393	3469824	393	-1.32917574170286	3469824	3477259	3473541.5
394	3469834	394	-1.26402636701476	3469834	3477364	3473599
395	3469850	395	-1.27129455283189	3469850	3477531	3473690.5
396	3469896	396	-1.27129455283189	3469896	3477547	3473721.5
397	3469955	397	-1.29478100452196	3469955	3477579	3473767
398	3470064	398	-1.37817893169969	3470064	3477615	3473839.5
399	3470199	399	-1.44402509114381	3470199	3477626	3473912.5
400	3470344	400	-1.44254742691983	3470344	3477636	3473990
401	3470345	401	-1.40526944247263	3470345	3477656	3474000.5
402	3470386	402	-1.40526944247263	3470386	3477677	3474031.5
403	3470463	403	-1.42354202202281	3470463	3477836	3474149.5
404	3470494	404	-1.33819790294033	3470494	3477901	3474197.5
405	3470678	405	-1.33819790294033	3470678	3478135	3474406.5
406	3470782	406	-1.33672023871635	3470782	3478368	3474575
407	3470894	407	-1.34111719079746	3470894	3478510	3474702
408	3470962	408	-1.34111719079746	3470962	3478618	3474790
409	3471018	409	-1.34111719079746	3471018	3478714	3474866
410	3471039	410	-1.32825069987159	3471039	3478724	3474881.5
411	3471048	411	-1.24408390675618	3471048	3478733	3474890.5
412	3471113	412	-1.23824533104193	3471113	3478770	3474941.5
413	3471121	413	-1.26381012346979	3471121	3479019	3475070
414	3471138	414	-1.26060251088603	3471138	3479063	3475100.5
415	3471183	415	-1.31918048451302	3471183	3479077	3475130
416	3471268	416	-1.32644867033015	3471268	3479106	3475187
417	3471469	417	-1.28622737096527	3471469	3479246	3475357.5
418	3471610	418	-1.36485592662333	3471610	3479476	3475543
419	3471676	419	-1.43070208606745	3471676	3479494	3475585
420	3471856	420	-1.43509903814856	3471856	3479685	3475770.5
421	3471971	421	-1.43657670237254	3471971	3479728	3475849.5
422	3471981	422	-1.42371021144667	3471981	3479755	3475868
423	3472262	423	-1.40442849535329	3472262	3479883	3476072.5
424	3472265	424	-1.39858991963904	3472265	3479960	3476112.5
425	3472266	425	-1.39858991963904	3472266	3480032	3476149
426	3472345	426	-1.39858991963904	3472345	3480043	3476194
427	3472353	427	-1.3173183873202	3472353	3480108	3476230.5
428	3472406	428	-1.27709708795532	3472406	3480199	3476302.5
429	3472486	429	-1.28436527377245	3472486	3480434	3476460
430	3472538	430	-1.28436527377245	3472538	3480490	3476514
431	3472661	431	-1.28847390112693	3472661	3480533	3476597
432	3472929	432	-1.22761335674745	3472929	3480548	3476738.5
433	3472931	433	-1.22321640466634	3472931	3480677	3476804
434	3472934	434	-1.19845651876699	3472934	3480745	3476839.5
435	3473029	435	-1.21788239722368	3473029	3480816	3476922.5
436	3473043	436	-1.23074888814955	3473043	3480846	3476944.5
437	3473086	437	-1.23801707396668	3473086	3480888	3476987
438	3473142	438	-1.26021807791719	3473142	3480909	3477025.5
439	3473633	439	-1.25734684418116	3473633	3481027	3477330
440	3473706	440	-1.26313736577432	3473706	3481052	3477379
441	3473758	441	-1.28404090845499	3473758	3481056	3477407
442	3473839	442	-1.24381960909011	3473839	3481204	3477521.5
443	3473897	443	-1.24381960909011	3473897	3481235	3477566
444	3473973	444	-1.24821656117121	3473973	3481279	3477626
445	3473997	445	-1.33839011942475	3473997	3481393	3477695
446	3474037	446	-1.31618911547424	3474037	3481398	3477717.5
447	3474166	447	-1.31478353243192	3474166	3481399	3477782.5
448	3474382	448	-1.23047257695319	3474382	3481400	3477891
449	3474440	449	-1.13928988215646	3474440	3481401	3477920.5
450	3474441	450	-1.13634656723877	3474441	3481402	3477921.5
451	3474553	451	-1.13634656723877	3474553	3481500	3478026.5
452	3474581	452	-1.07893390604858	3474581	3481552	3478066.5
453	3474892	453	-0.987354764752722	3474892	3481643	3478267.5
454	3475052	454	-0.907104382507372	3475052	3481799	3478425.5
455	3475062	455	-0.902707430426265	3475062	3481934	3478498
456	3475085	456	-0.827274473821691	3475085	3482028	3478556.5
457	3475193	457	-0.82875213804567	3475193	3482032	3478612.5
458	3475517	458	-0.919826711069921	3475517	3482141	3478829
459	3475696	459	-0.896340259379852	3475696	3482201	3478948.5
460	3475880	460	-0.890501683665595	3475880	3482278	3479079
461	3476034	461	-0.890501683665595	3476034	3482336	3479185
462	3476114	462	-0.897769869482726	3476114	3482361	3479237.5
463	3476152	463	-0.897769869482726	3476152	3482369	3479260.5
464	3476200	464	-0.899247533706705	3476200	3482456	3479328
